gene_symbol	MANE_transcript	ClinVar_PL_record_count	public_label_v5	low_record_burden_flag	unit_count	best_single_exon_coverage_fraction	best_adjacent_exon_block_coverage_fraction	best_downstream_CDS_implantation_coverage_fraction	detail_page
DHRSX	ENST00000334651.11	1	Low-record-burden interpretation-limited	true	31	1.000000	1.000000	1.000000	genes/DHRSX.html
DHTKD1	ENST00000263035.9	58	Compact downstream-CDS record-coverage hypothesis	false	91	0.206897	0.431034	0.965517	genes/DHTKD1.html
DHX16	ENST00000376442.8	7	Low-record-burden interpretation-limited	true	109	0.428571	0.714286	0.857143	genes/DHX16.html
DHX30	ENST00000445061.6	19	Low-record-burden interpretation-limited	true	121	0.421053	0.736842	1.000000	genes/DHX30.html
DHX34	ENST00000328771.9	3	Low-record-burden interpretation-limited	true	91	0.333333	0.666667	1.000000	genes/DHX34.html
DHX37	ENST00000308736.7	15	Low-record-burden interpretation-limited	true	151	0.200000	0.400000	1.000000	genes/DHX37.html
DHX38	ENST00000268482.8	4	Low-record-burden interpretation-limited	true	151	0.250000	0.500000	1.000000	genes/DHX38.html
DHX8	ENST00000262415.8	1	Low-record-burden interpretation-limited	true	127	0.000000	0.000000	1.000000	genes/DHX8.html
DHX9	ENST00000367549.4	17	Low-record-burden interpretation-limited	true	157	0.235294	0.294118	1.000000	genes/DHX9.html
DIABLO	ENST00000464942.7	3	Low-record-burden interpretation-limited	true	25	0.333333	1.000000	1.000000	genes/DIABLO.html
DIAPH1	ENST00000389054.8	59	Compact downstream-CDS record-coverage hypothesis	false	157	0.118644	0.237288	0.932203	genes/DIAPH1.html
DIAPH3	ENST00000400324.9	1	Low-record-burden interpretation-limited	true	157	1.000000	1.000000	1.000000	genes/DIAPH3.html
DICER1	ENST00000343455.8	833	Tumor-predisposition control/caution	false	151	0.160864	0.457383	1.000000	genes/DICER1.html
DIO1	ENST00000361921.8	2	Low-record-burden interpretation-limited	true	13	0.500000	1.000000	0.500000	genes/DIO1.html
DIP2A	ENST00000417564.3	2	Low-record-burden interpretation-limited	true	217	0.500000	0.500000	1.000000	genes/DIP2A.html
DIP2B	ENST00000301180.10	2	Low-record-burden interpretation-limited	true	217	0.500000	0.500000	1.000000	genes/DIP2B.html
DIP2C	ENST00000280886.12	17	Low-record-burden interpretation-limited	true	211	0.117647	0.294118	1.000000	genes/DIP2C.html
DIPK1A	ENST00000370310.5	84	Compact downstream-CDS record-coverage hypothesis	false	19	0.000000	0.000000	1.000000	genes/DIPK1A.html
DIS3	ENST00000377767.9	2	Low-record-burden interpretation-limited	true	115	0.500000	1.000000	1.000000	genes/DIS3.html
DIS3L2	ENST00000325385.12	92	Compact downstream-CDS record-coverage hypothesis	false	115	0.119565	0.369565	1.000000	genes/DIS3L2.html
DISP1	ENST00000675850.1	5	Low-record-burden interpretation-limited	true	43	0.600000	0.800000	1.000000	genes/DISP1.html
DIXDC1	ENST00000440460.7	1	Low-record-burden interpretation-limited	true	109	1.000000	1.000000	1.000000	genes/DIXDC1.html
DKC1	ENST00000369550.10	30	Compact downstream-CDS record-coverage hypothesis	false	79	0.300000	0.533333	0.966667	genes/DKC1.html
DKK3	ENST00000683431.1	2	Low-record-burden interpretation-limited	true	31	1.000000	1.000000	1.000000	genes/DKK3.html
DLAT	ENST00000280346.11	17	Low-record-burden interpretation-limited	true	73	0.176471	0.647059	0.941176	genes/DLAT.html
DLC1	ENST00000276297.9	1	Low-record-burden interpretation-limited	true	97	1.000000	1.000000	1.000000	genes/DLC1.html
DLD	ENST00000205402.10	139	Compact downstream-CDS record-coverage hypothesis	false	73	0.187050	0.517986	0.949640	genes/DLD.html
DLG3	ENST00000374360.8	40	Diffuse/moderate record architecture	false	103	0.250000	0.425000	0.775000	genes/DLG3.html
DLG4	ENST00000399506.9	116	Compact downstream-CDS record-coverage hypothesis	false	109	0.103448	0.318966	0.853448	genes/DLG4.html
DLG5	ENST00000372391.7	3	Low-record-burden interpretation-limited	true	181	0.666667	0.666667	0.666667	genes/DLG5.html
DLK1	ENST00000341267.9	1	Low-record-burden interpretation-limited	true	19	1.000000	1.000000	1.000000	genes/DLK1.html
DLL1	ENST00000366756.4	62	Compact downstream-CDS record-coverage hypothesis	false	55	0.338710	0.548387	0.967742	genes/DLL1.html
DLL3	ENST00000356433.10	55	Compact downstream-CDS record-coverage hypothesis	false	43	0.345455	0.890909	1.000000	genes/DLL3.html
DLL4	ENST00000249749.7	28	Compact downstream-CDS record-coverage hypothesis	false	55	0.464286	0.714286	1.000000	genes/DLL4.html
DLX3	ENST00000434704.2	8	Low-record-burden interpretation-limited	true	8	0.875000	1.000000	1.000000	genes/DLX3.html
DLX5	ENST00000648378.1	9	Low-record-burden interpretation-limited	true	8	0.666667	1.000000	0.888889	genes/DLX5.html
DMAC2L	ENST00000557421.7	2	Low-record-burden interpretation-limited	true	25	0.000000	0.000000	0.000000	genes/DMAC2L.html
DMAP1	ENST00000372289.7	1	Low-record-burden interpretation-limited	true	49	1.000000	1.000000	1.000000	genes/DMAP1.html
DMBX1	ENST00000360032.4	1	Low-record-burden interpretation-limited	true	25	1.000000	1.000000	1.000000	genes/DMBX1.html
DMC1	ENST00000216024.7	5	Low-record-burden interpretation-limited	true	73	0.200000	0.600000	1.000000	genes/DMC1.html
DMD	ENST00000357033.9	2119	Large-payload / donor-burden stress	false	463	0.026899	0.094384	0.996697	genes/DMD.html
DMGDH	ENST00000255189.8	2	Low-record-burden interpretation-limited	true	85	0.500000	1.000000	1.000000	genes/DMGDH.html
DMP1	ENST00000339673.11	18	Low-record-burden interpretation-limited	true	25	0.555556	1.000000	1.000000	genes/DMP1.html
DMPK	ENST00000291270.9	174	Compact downstream-CDS record-coverage hypothesis	false	79	0.994253	0.994253	1.000000	genes/DMPK.html
DMRT1	ENST00000382276.8	9	Low-record-burden interpretation-limited	true	19	0.444444	0.888889	0.555556	genes/DMRT1.html
DMRT2	ENST00000358146.7	2	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	1.000000	genes/DMRT2.html
DMRT3	ENST00000190165.3	1	Low-record-burden interpretation-limited	true	4	1.000000	1.000000	1.000000	genes/DMRT3.html
DMXL2	ENST00000560891.6	61	Downstream-CDS high-coverage with context burden	false	253	0.131148	0.278689	1.000000	genes/DMXL2.html
DNA2	ENST00000358410.8	17	Low-record-burden interpretation-limited	true	115	0.117647	0.294118	1.000000	genes/DNA2.html
DNAAF1	ENST00000378553.10	51	Compact downstream-CDS record-coverage hypothesis	false	61	0.215686	0.627451	0.941176	genes/DNAAF1.html
DNAAF11	ENST00000620350.5	45	Compact downstream-CDS record-coverage hypothesis	false	61	0.266667	0.666667	0.977778	genes/DNAAF11.html
DNAAF19	ENST00000417826.3	26	Compact downstream-CDS record-coverage hypothesis	false	13	0.538462	1.000000	1.000000	genes/DNAAF19.html
DNAAF2	ENST00000298292.13	50	Compact local exon/block record cluster	false	8	0.960000	1.000000	0.040000	genes/DNAAF2.html
DNAAF3	ENST00000524407.7	53	Compact downstream-CDS record-coverage hypothesis	false	61	0.132075	0.490566	0.962264	genes/DNAAF3.html
DNAAF4	ENST00000321149.7	40	Compact downstream-CDS record-coverage hypothesis	false	49	0.300000	0.700000	1.000000	genes/DNAAF4.html
DNAAF5	ENST00000297440.11	50	Compact local exon/block record cluster	false	67	0.280000	0.560000	0.740000	genes/DNAAF5.html
DNAAF6	ENST00000372453.8	12	Low-record-burden interpretation-limited	true	31	0.416667	0.916667	1.000000	genes/DNAAF6.html
DNAH1	ENST00000420323.7	139	Large-payload / donor-burden stress	false	457	0.043165	0.122302	1.000000	genes/DNAH1.html
DNAH10	ENST00000673944.1	6	Low-record-burden interpretation-limited	true	463	0.333333	0.500000	1.000000	genes/DNAH10.html
DNAH11	ENST00000409508.8	574	Large-payload / donor-burden stress	false	481	0.071429	0.130662	0.975610	genes/DNAH11.html
DNAH12	ENST00000495027.6	2	Low-record-burden interpretation-limited	true	433	0.500000	0.500000	1.000000	genes/DNAH12.html
DNAH14	ENST00000682510.1	2	Low-record-burden interpretation-limited	true	505	0.500000	0.500000	1.000000	genes/DNAH14.html
DNAH17	ENST00000389840.7	23	Large-payload / donor-burden stress	false	475	0.086957	0.173913	1.000000	genes/DNAH17.html
DNAH2	ENST00000572933.6	7	Low-record-burden interpretation-limited	true	505	0.428571	0.428571	1.000000	genes/DNAH2.html
DNAH3	ENST00000698260.1	4	Low-record-burden interpretation-limited	true	361	0.500000	0.500000	1.000000	genes/DNAH3.html
DNAH5	ENST00000265104.5	1093	Large-payload / donor-burden stress	false	463	0.022873	0.096066	0.998170	genes/DNAH5.html
DNAH6	ENST00000389394.8	1	Low-record-burden interpretation-limited	true	451	1.000000	1.000000	1.000000	genes/DNAH6.html
DNAH7	ENST00000312428.11	7	Low-record-burden interpretation-limited	true	379	0.142857	0.285714	1.000000	genes/DNAH7.html
DNAH8	ENST00000327475.11	156	Large-payload / donor-burden stress	false	547	0.032051	0.096154	1.000000	genes/DNAH8.html
DNAH9	ENST00000262442.9	157	Large-payload / donor-burden stress	false	403	0.063694	0.146497	0.942675	genes/DNAH9.html
DNAI1	ENST00000242317.9	167	Compact downstream-CDS record-coverage hypothesis	false	109	0.107784	0.353293	0.982036	genes/DNAI1.html
DNAI2	ENST00000311014.11	115	Compact downstream-CDS record-coverage hypothesis	false	72	0.173913	0.513043	1.000000	genes/DNAI2.html
DNAJB11	ENST00000265028.8	28	Compact downstream-CDS record-coverage hypothesis	false	49	0.178571	0.750000	0.964286	genes/DNAJB11.html
DNAJB13	ENST00000339764.6	13	Low-record-burden interpretation-limited	true	37	0.384615	0.846154	1.000000	genes/DNAJB13.html
DNAJB2	ENST00000336576.10	26	Compact downstream-CDS record-coverage hypothesis	false	43	0.230769	0.769231	0.961538	genes/DNAJB2.html
DNAJB4	ENST00000370763.6	4	Low-record-burden interpretation-limited	true	8	0.500000	1.000000	0.500000	genes/DNAJB4.html
DNAJB6	ENST00000262177.9	14	Low-record-burden interpretation-limited	true	49	1.000000	1.000000	1.000000	genes/DNAJB6.html
DNAJC12	ENST00000225171.7	22	Compact downstream-CDS record-coverage hypothesis	false	19	0.318182	0.954545	0.863636	genes/DNAJC12.html
DNAJC19	ENST00000382564.8	21	Compact downstream-CDS record-coverage hypothesis	false	25	0.285714	1.000000	1.000000	genes/DNAJC19.html
DNAJC21	ENST00000648817.1	48	Compact downstream-CDS record-coverage hypothesis	false	61	0.312500	0.687500	0.958333	genes/DNAJC21.html
DNAJC3	ENST00000602402.6	10	Low-record-burden interpretation-limited	true	61	0.200000	0.500000	0.900000	genes/DNAJC3.html
DNAJC30	ENST00000395176.3	9	Low-record-burden interpretation-limited	true	1	1.000000			genes/DNAJC30.html
DNAJC5	ENST00000360864.9	4	Low-record-burden interpretation-limited	true	19	1.000000	1.000000	1.000000	genes/DNAJC5.html
DNAJC6	ENST00000371069.5	13	Low-record-burden interpretation-limited	true	103	0.153846	0.461538	0.923077	genes/DNAJC6.html
DNAJC9	ENST00000372950.6	3	Low-record-burden interpretation-limited	true	19	0.000000	0.000000	1.000000	genes/DNAJC9.html
DNAL1	ENST00000553645.7	10	Low-record-burden interpretation-limited	true	37	0.500000	0.900000	1.000000	genes/DNAL1.html
DNAL4	ENST00000216068.9	1	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	1.000000	genes/DNAL4.html
DNALI1	ENST00000652629.1	1	Low-record-burden interpretation-limited	true	25	1.000000	1.000000	1.000000	genes/DNALI1.html
DNASE1	ENST00000246949.10	2	Low-record-burden interpretation-limited	true	43	0.500000	0.500000	1.000000	genes/DNASE1.html
DNASE1L1	ENST00000369807.6	8	Low-record-burden interpretation-limited	true	37	0.000000	0.000000	0.000000	genes/DNASE1L1.html
DNASE1L3	ENST00000394549.7	18	Low-record-burden interpretation-limited	true	37	0.222222	0.833333	0.944444	genes/DNASE1L3.html
DNASE2	ENST00000222219.8	3	Low-record-burden interpretation-limited	true	25	0.666667	1.000000	1.000000	genes/DNASE2.html
DNHD1	ENST00000254579.11	45	Downstream-CDS high-coverage with context burden	false	247	0.111111	0.200000	1.000000	genes/DNHD1.html
DNM1	ENST00000372923.8	67	Compact downstream-CDS record-coverage hypothesis	false	121	0.179104	0.477612	0.910448	genes/DNM1.html
DNM1L	ENST00000549701.6	65	Compact downstream-CDS record-coverage hypothesis	false	109	0.153846	0.369231	0.969231	genes/DNM1L.html
DNM2	ENST00000389253.9	29	Compact downstream-CDS record-coverage hypothesis	false	115	0.275862	0.620690	1.000000	genes/DNM2.html
DNMBP	ENST00000324109.9	5	Low-record-burden interpretation-limited	true	91	0.600000	0.600000	1.000000	genes/DNMBP.html
DNMT1	ENST00000359526.9	13	Low-record-burden interpretation-limited	true	235	0.307692	0.615385	1.000000	genes/DNMT1.html
DNMT3A	ENST00000321117.10	207	Compact downstream-CDS record-coverage hypothesis	false	127	0.115942	0.314010	1.000000	genes/DNMT3A.html
DNMT3B	ENST00000328111.6	41	Compact downstream-CDS record-coverage hypothesis	false	127	0.146341	0.365854	1.000000	genes/DNMT3B.html
DOCK1	ENST00000623213.2	1	Low-record-burden interpretation-limited	true	301	1.000000	1.000000	1.000000	genes/DOCK1.html
DOCK11	ENST00000276202.9	14	Low-record-burden interpretation-limited	true	307	0.142857	0.285714	0.928571	genes/DOCK11.html
DOCK2	ENST00000520908.7	34	Large-payload / donor-burden stress	false	301	0.088235	0.176471	1.000000	genes/DOCK2.html
DOCK3	ENST00000266037.10	11	Low-record-burden interpretation-limited	true	307	0.181818	0.272727	1.000000	genes/DOCK3.html
DOCK4	ENST00000428084.6	3	Low-record-burden interpretation-limited	true	307	0.333333	1.000000	1.000000	genes/DOCK4.html
DOCK6	ENST00000294618.12	97	Downstream-CDS high-coverage with context burden	false	277	0.061856	0.175258	1.000000	genes/DOCK6.html
DOCK7	ENST00000635253.2	111	Large-payload / donor-burden stress	false	289	0.054054	0.144144	1.000000	genes/DOCK7.html
DOCK8	ENST00000432829.7	120	Downstream-CDS high-coverage with context burden	false	277	0.066667	0.158333	0.991667	genes/DOCK8.html
DOHH	ENST00000427575.6	5	Low-record-burden interpretation-limited	true	19	0.600000	1.000000	1.000000	genes/DOHH.html
DOK1	ENST00000233668.10	3	Low-record-burden interpretation-limited	true	19	0.000000	0.000000	0.000000	genes/DOK1.html
DOK7	ENST00000340083.6	144	Compact downstream-CDS record-coverage hypothesis	false	31	0.555556	0.923611	0.979167	genes/DOK7.html
DOLK	ENST00000372586.4	14	Low-record-burden interpretation-limited	true	1	1.000000			genes/DOLK.html
DONSON	ENST00000303071.10	47	Compact downstream-CDS record-coverage hypothesis	false	49	0.212766	0.659574	0.893617	genes/DONSON.html
DOP1A	ENST00000349129.7	8	Low-record-burden interpretation-limited	true	223	0.000000	0.000000	1.000000	genes/DOP1A.html
DOT1L	ENST00000398665.8	9	Low-record-burden interpretation-limited	true	157	0.444444	0.555556	1.000000	genes/DOT1L.html
DPAGT1	ENST00000354202.9	41	Compact downstream-CDS record-coverage hypothesis	false	43	0.219512	0.658537	0.829268	genes/DPAGT1.html
DPF2	ENST00000528416.6	17	Low-record-burden interpretation-limited	true	55	0.588235	1.000000	1.000000	genes/DPF2.html
DPH1	ENST00000263083.12	14	Low-record-burden interpretation-limited	true	66	0.214286	0.642857	0.928571	genes/DPH1.html
DPH2	ENST00000255108.8	3	Low-record-burden interpretation-limited	true	25	0.333333	1.000000	1.000000	genes/DPH2.html
DPH5	ENST00000370109.8	3	Low-record-burden interpretation-limited	true	37	0.333333	1.000000	1.000000	genes/DPH5.html
DPM1	ENST00000371588.10	22	Compact downstream-CDS record-coverage hypothesis	false	43	0.227273	0.636364	0.909091	genes/DPM1.html
DPM2	ENST00000314392.13	9	Low-record-burden interpretation-limited	true	13	0.444444	1.000000	1.000000	genes/DPM2.html
DPM3	ENST00000368400.5	13	Low-record-burden interpretation-limited	true	4	1.000000	1.000000	1.000000	genes/DPM3.html
DPP6	ENST00000377770.8	2	Low-record-burden interpretation-limited	true	145	0.500000	0.500000	1.000000	genes/DPP6.html
DPP9	ENST00000262960.14	4	Low-record-burden interpretation-limited	true	121	0.500000	0.750000	1.000000	genes/DPP9.html
DPPA2	ENST00000478945.1	1	Low-record-burden interpretation-limited	true	42	1.000000	1.000000	1.000000	genes/DPPA2.html
DPRX	ENST00000376650.2	1	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	1.000000	genes/DPRX.html
DPT	ENST00000367817.4	1	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	1.000000	genes/DPT.html
DPY19L2	ENST00000324472.9	7	Low-record-burden interpretation-limited	true	121	0.428571	0.857143	1.000000	genes/DPY19L2.html
DPYD	ENST00000370192.8	146	Compact downstream-CDS record-coverage hypothesis	false	127	0.089041	0.328767	0.979452	genes/DPYD.html
DPYS	ENST00000351513.7	31	Compact local exon/block record cluster	false	48	0.225806	0.645161	0.774194	genes/DPYS.html
DPYSL2	ENST00000521913.7	1	Low-record-burden interpretation-limited	true	73	1.000000	1.000000	1.000000	genes/DPYSL2.html
DPYSL5	ENST00000288699.11	1	Low-record-burden interpretation-limited	true	67	1.000000	1.000000	1.000000	genes/DPYSL5.html
DRAM2	ENST00000484310.6	30	Compact downstream-CDS record-coverage hypothesis	false	49	0.266667	0.733333	1.000000	genes/DRAM2.html
DRC1	ENST00000288710.7	35	Compact downstream-CDS record-coverage hypothesis	false	91	0.114286	0.371429	0.971429	genes/DRC1.html
DRC2	ENST00000320516.5	19	Low-record-burden interpretation-limited	true	37	0.368421	1.000000	1.000000	genes/DRC2.html
DRC4	ENST00000268699.9	19	Low-record-burden interpretation-limited	true	55	0.263158	0.684211	1.000000	genes/DRC4.html
DRC9	ENST00000265239.11	7	Low-record-burden interpretation-limited	true	61	0.000000	0.000000	1.000000	genes/DRC9.html
DRD4	ENST00000176183.6	1	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	0.000000	genes/DRD4.html
DRG1	ENST00000331457.9	5	Low-record-burden interpretation-limited	true	43	0.400000	0.600000	1.000000	genes/DRG1.html
DROSHA	ENST00000344624.8	9	Low-record-burden interpretation-limited	true	205	0.222222	0.333333	1.000000	genes/DROSHA.html
DRP2	ENST00000395209.8	17	Low-record-burden interpretation-limited	true	133	0.235294	0.470588	1.000000	genes/DRP2.html
DSC2	ENST00000280904.11	97	Compact downstream-CDS record-coverage hypothesis	false	85	0.103093	0.391753	0.989691	genes/DSC2.html
DSC3	ENST00000360428.9	7	Low-record-burden interpretation-limited	true	85	0.285714	0.571429	1.000000	genes/DSC3.html
DSCAM	ENST00000400454.6	6	Low-record-burden interpretation-limited	true	187	0.166667	0.333333	1.000000	genes/DSCAM.html
DSE	ENST00000644252.3	15	Low-record-burden interpretation-limited	true	25	0.266667	0.866667	0.866667	genes/DSE.html
DSG1	ENST00000257192.5	44	Compact downstream-CDS record-coverage hypothesis	false	79	0.136364	0.477273	0.977273	genes/DSG1.html
DSG2	ENST00000261590.13	126	Compact downstream-CDS record-coverage hypothesis	false	79	0.111111	0.396825	0.976190	genes/DSG2.html
DSG3	ENST00000257189.5	1	Low-record-burden interpretation-limited	true	85	1.000000	1.000000	1.000000	genes/DSG3.html
DSG4	ENST00000308128.9	17	Low-record-burden interpretation-limited	true	85	0.176471	0.470588	1.000000	genes/DSG4.html
DSP	ENST00000379802.8	816	Downstream-CDS high-coverage with context burden	false	133	0.291667	0.611520	0.985294	genes/DSP.html
DSPP	ENST00000651931.1	59	Compact downstream-CDS record-coverage hypothesis	false	19	0.745763	1.000000	1.000000	genes/DSPP.html
DST	ENST00000680361.1	196	Large-payload / donor-burden stress	false	613	0.061224	0.102041	0.994898	genes/DST.html
DSTYK	ENST00000367162.8	6	Low-record-burden interpretation-limited	true	67	0.333333	0.833333	0.833333	genes/DSTYK.html
DTNA	ENST00000444659.6	1	Low-record-burden interpretation-limited	true	126	1.000000	1.000000	1.000000	genes/DTNA.html
DTNBP1	ENST00000344537.10	15	Low-record-burden interpretation-limited	true	49	0.133333	0.600000	1.000000	genes/DTNBP1.html
DTYMK	ENST00000305784.7	5	Low-record-burden interpretation-limited	true	19	0.800000	1.000000	1.000000	genes/DTYMK.html
DUOX2	ENST00000389039.11	239	Compact downstream-CDS record-coverage hypothesis	false	193	0.062762	0.196653	1.000000	genes/DUOX2.html
DUOXA1	ENST00000560572.6	2	Low-record-burden interpretation-limited	true	43	1.000000	1.000000	1.000000	genes/DUOXA1.html
DUOXA2	ENST00000323030.6	27	Compact local exon/block record cluster	false	25	0.259259	0.925926	0.777778	genes/DUOXA2.html
DUS1L	ENST00000306796.10	1	Low-record-burden interpretation-limited	true	73	1.000000	1.000000	1.000000	genes/DUS1L.html
DUS4L	ENST00000265720.8	1	Low-record-burden interpretation-limited	true	37	1.000000	1.000000	0.000000	genes/DUS4L.html
DUSP6	ENST00000279488.8	1	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	0.000000	genes/DUSP6.html
DUT	ENST00000331200.8	1	Low-record-burden interpretation-limited	true	31	1.000000	1.000000	1.000000	genes/DUT.html
DVL1	ENST00000378888.10	24	Compact downstream-CDS record-coverage hypothesis	false	79	0.833333	0.958333	1.000000	genes/DVL1.html
DVL2	ENST00000005340.10	4	Low-record-burden interpretation-limited	true	79	0.000000	0.000000	1.000000	genes/DVL2.html
DVL3	ENST00000313143.9	19	Low-record-burden interpretation-limited	true	79	0.578947	0.894737	1.000000	genes/DVL3.html
DYM	ENST00000675505.1	54	Compact downstream-CDS record-coverage hypothesis	false	97	0.129630	0.370370	1.000000	genes/DYM.html
DYNC1H1	ENST00000360184.10	176	Large-payload / donor-burden stress	false	457	0.147727	0.267045	1.000000	genes/DYNC1H1.html
DYNC1I2	ENST00000397119.8	5	Low-record-burden interpretation-limited	true	97	0.200000	0.800000	1.000000	genes/DYNC1I2.html
DYNC2H1	ENST00000375735.7	566	Large-payload / donor-burden stress	false	523	0.031802	0.102473	0.996466	genes/DYNC2H1.html
DYNC2I1	ENST00000407559.8	31	Compact downstream-CDS record-coverage hypothesis	false	139	0.161290	0.483871	1.000000	genes/DYNC2I1.html
DYNC2I2	ENST00000372715.7	51	Compact downstream-CDS record-coverage hypothesis	false	43	0.235294	0.647059	0.882353	genes/DYNC2I2.html
DYNC2LI1	ENST00000260605.12	71	Compact downstream-CDS record-coverage hypothesis	false	67	0.056338	0.154930	0.985915	genes/DYNC2LI1.html
DYNLT2B	ENST00000325318.10	8	Low-record-burden interpretation-limited	true	19	0.375000	1.000000	0.750000	genes/DYNLT2B.html
DYRK1A	ENST00000647188.2	258	Compact downstream-CDS record-coverage hypothesis	false	61	0.209302	0.686047	1.000000	genes/DYRK1A.html
DYRK1B	ENST00000323039.10	2	Low-record-burden interpretation-limited	true	55	1.000000	1.000000	1.000000	genes/DYRK1B.html
DYSF	ENST00000410020.8	913	Large-payload / donor-burden stress	false	325	0.041621	0.124863	0.991238	genes/DYSF.html
DZIP1	ENST00000376829.7	2	Low-record-burden interpretation-limited	true	127	0.500000	1.000000	1.000000	genes/DZIP1.html
DZIP1L	ENST00000327532.7	17	Low-record-burden interpretation-limited	true	85	0.235294	0.529412	1.000000	genes/DZIP1L.html
E2F6	ENST00000381525.8	1	Low-record-burden interpretation-limited	true	31	0.000000	0.000000	1.000000	genes/E2F6.html
E4F1	ENST00000301727.9	1	Low-record-burden interpretation-limited	true	73	1.000000	1.000000	1.000000	genes/E4F1.html
EARS2	ENST00000449606.7	35	Compact downstream-CDS record-coverage hypothesis	false	43	0.314286	0.857143	0.971429	genes/EARS2.html
EBF3	ENST00000440978.2	110	Compact downstream-CDS record-coverage hypothesis	false	91	0.154545	0.536364	0.972727	genes/EBF3.html
EBP	ENST00000495186.6	81	Compact downstream-CDS record-coverage hypothesis	false	19	0.444444	1.000000	1.000000	genes/EBP.html
ECE1	ENST00000374893.11	4	Low-record-burden interpretation-limited	true	103	0.500000	0.750000	1.000000	genes/ECE1.html
ECEL1	ENST00000304546.6	62	Compact downstream-CDS record-coverage hypothesis	false	97	0.258065	0.467742	1.000000	genes/ECEL1.html
ECHDC1	ENST00000454859.8	3	Low-record-burden interpretation-limited	true	25	0.333333	0.666667	1.000000	genes/ECHDC1.html
ECHS1	ENST00000368547.4	63	Compact downstream-CDS record-coverage hypothesis	false	37	0.222222	0.857143	0.809524	genes/ECHS1.html
ECM1	ENST00000369047.9	32	Compact downstream-CDS record-coverage hypothesis	false	49	0.281250	0.718750	0.906250	genes/ECM1.html
EDA	ENST00000374552.9	276	Compact downstream-CDS record-coverage hypothesis	false	37	0.221014	0.673913	0.815217	genes/EDA.html
EDA2R	ENST00000374719.8	1	Low-record-burden interpretation-limited	true	30	1.000000	1.000000	1.000000	genes/EDA2R.html
EDAR	ENST00000258443.7	91	Compact downstream-CDS record-coverage hypothesis	false	61	0.472527	0.692308	1.000000	genes/EDAR.html
EDARADD	ENST00000334232.9	16	Low-record-burden interpretation-limited	true	25	0.687500	0.937500	1.000000	genes/EDARADD.html
EDC3	ENST00000315127.9	2	Low-record-burden interpretation-limited	true	31	0.500000	1.000000	1.000000	genes/EDC3.html
EDEM3	ENST00000318130.13	15	Low-record-burden interpretation-limited	true	109	0.200000	0.466667	1.000000	genes/EDEM3.html
EDN1	ENST00000379375.6	4	Low-record-burden interpretation-limited	true	19	0.500000	1.000000	1.000000	genes/EDN1.html
EDN3	ENST00000337938.7	7	Low-record-burden interpretation-limited	true	19	0.714286	1.000000	1.000000	genes/EDN3.html
EDNRA	ENST00000651419.1	2	Low-record-burden interpretation-limited	true	37	0.500000	1.000000	1.000000	genes/EDNRA.html
EDNRB	ENST00000646607.2	41	Compact local exon/block record cluster	false	31	0.317073	0.926829	0.682927	genes/EDNRB.html
EED	ENST00000263360.11	13	Low-record-burden interpretation-limited	true	61	0.230769	0.769231	1.000000	genes/EED.html
EEF1A2	ENST00000217182.6	42	Compact downstream-CDS record-coverage hypothesis	false	37	0.261905	0.809524	1.000000	genes/EEF1A2.html
EEF1AKMT4	ENST00000324557.9	1	Low-record-burden interpretation-limited	true	8	0.000000	0.000000	0.000000	genes/EEF1AKMT4.html
EEF1B2	ENST00000392222.7	3	Low-record-burden interpretation-limited	true	25	0.333333	1.000000	1.000000	genes/EEF1B2.html
EEF1D	ENST00000618139.4	9	Low-record-burden interpretation-limited	true	49	0.444444	0.777778	1.000000	genes/EEF1D.html
EEF2	ENST00000309311.7	7	Low-record-burden interpretation-limited	true	79	0.285714	0.714286	1.000000	genes/EEF2.html
EEF2KMT	ENST00000427587.9	4	Low-record-burden interpretation-limited	true	37	1.000000	1.000000	1.000000	genes/EEF2KMT.html
EEFSEC	ENST00000254730.11	4	Low-record-burden interpretation-limited	true	31	0.500000	0.750000	0.750000	genes/EEFSEC.html
EFCAB10	ENST00000480514.6	4	Low-record-burden interpretation-limited	true	18	0.750000	0.750000	1.000000	genes/EFCAB10.html
EFEMP1	ENST00000355426.8	14	Low-record-burden interpretation-limited	true	61	0.214286	0.500000	1.000000	genes/EFEMP1.html
EFEMP2	ENST00000307998.11	43	Compact downstream-CDS record-coverage hypothesis	false	55	0.186047	0.604651	1.000000	genes/EFEMP2.html
EFHC1	ENST00000371068.11	1	Low-record-burden interpretation-limited	true	55	1.000000	1.000000	1.000000	genes/EFHC1.html
EFL1	ENST00000268206.12	5	Low-record-burden interpretation-limited	true	109	0.600000	0.800000	1.000000	genes/EFL1.html
EFNB1	ENST00000204961.5	69	Compact downstream-CDS record-coverage hypothesis	false	19	0.420290	1.000000	0.811594	genes/EFNB1.html
EFNB2	ENST00000646441.1	1	Low-record-burden interpretation-limited	true	19	1.000000	1.000000	1.000000	genes/EFNB2.html
EFTUD2	ENST00000426333.7	170	Compact downstream-CDS record-coverage hypothesis	false	157	0.100000	0.270588	1.000000	genes/EFTUD2.html
